I-art,"{u'I-art': 0.45454545454545453, u'B-gpe': 0.0, u'B-art': 0.5454545454545454, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.0, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
B-gpe,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.0019723865877712033, u'I-per': 0.0, u'B-geo': 0.011834319526627219, u'B-tim': 0.0039447731755424065, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.7790927021696252, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.20315581854043394, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
B-art,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.05405405405405406, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.9459459459459459, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
I-tim,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.26, u'B-org': 0.0, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.74, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.0, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
B-org,"{u'I-art': 0.0, u'B-gpe': 0.0395778364116095, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.8496042216358839, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.10817941952506596, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.002638522427440633}"
I-per,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.3436619718309859, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.0, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.6563380281690141}"
B-geo,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0019569471624266144, u'B-org': 0.0019569471624266144, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.003913894324853229, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.9295499021526419, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0019569471624266144, u'__START1__': 0.060665362035225046, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
B-tim,"{u'I-art': 0.003205128205128205, u'B-gpe': 0.003205128205128205, u'B-art': 0.003205128205128205, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.00641025641025641, u'B-geo': 0.04807692307692308, u'B-tim': 0.0, u'I-geo': 0.003205128205128205, u'B-nat': 0.0, u'O': 0.9006410256410257, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.019230769230769232, u'I-org': 0.01282051282051282, u'I-nat': 0.0, u'B-per': 0.0}"
I-geo,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.0, u'B-geo': 0.9240506329113924, u'B-tim': 0.0, u'I-geo': 0.0759493670886076, u'B-nat': 0.0, u'O': 0.0, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
B-nat,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.1111111111111111, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.8888888888888888, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
O,"{u'I-art': 0.0006428237494156148, u'B-gpe': 0.025420757363253856, u'B-art': 0.001402524544179523, u'I-tim': 0.0021037868162692847, u'B-org': 0.012213651238896681, u'I-per': 0.01349929873772791, u'B-geo': 0.02425198690977092, u'B-tim': 0.015778401122019635, u'I-geo': 0.004207573632538569, u'B-nat': 0.0003506311360448808, u'O': 0.8474170172978027, u'I-eve': 0.0006428237494156148, u'B-eve': 0.0004090696587190276, u'I-gpe': 0.0012272089761570827, u'__START1__': 0.03839410939691445, u'I-org': 0.008882655446470314, u'I-nat': 0.0001753155680224404, u'B-per': 0.0029803646563814866}"
I-eve,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.0, u'I-eve': 0.21428571428571427, u'B-eve': 0.7857142857142857, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
B-eve,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 1.0, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
I-gpe,"{u'I-art': 0.0, u'B-gpe': 0.8461538461538461, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.0, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.15384615384615385, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.0, u'B-per': 0.0}"
I-org,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.5842293906810035, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.0, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.4157706093189964, u'I-nat': 0.0, u'B-per': 0.0}"
I-nat,"{u'I-art': 0.0, u'B-gpe': 0.0, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.0, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.6, u'O': 0.0, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.0, u'I-org': 0.0, u'I-nat': 0.4, u'B-per': 0.0}"
B-per,"{u'I-art': 0.0, u'B-gpe': 0.11929824561403508, u'B-art': 0.0, u'I-tim': 0.0, u'B-org': 0.010526315789473684, u'I-per': 0.0, u'B-geo': 0.0, u'B-tim': 0.0, u'I-geo': 0.0, u'B-nat': 0.0, u'O': 0.6175438596491228, u'I-eve': 0.0, u'B-eve': 0.0, u'I-gpe': 0.0, u'__START1__': 0.22807017543859648, u'I-org': 0.02456140350877193, u'I-nat': 0.0, u'B-per': 0.0}"
